PARTICIPANT_CODE,DISTRICT,POSTCODE
0059466HST,WELLINGTON,7655
0059479HST,GRAHAMSTOWN,6140
0059481HST,BULTFONTEIN,9670
0059494HST,OUDTSHOORN,6620
0059506HST,DEWETSDORP,9940
0439043HST,WAKKERSTROOM,2195
0439069HST,RIVERSDALE,6770
0439071HST,SWELLENDAM,6730
0438680JSE,LICHTENBURG,2610
0438262JSE,PORT ELIZABETH,6018
0438285JSE,BOTHAVILLE,9660
0438298HST,VEREENIGING,1930
0440544JSE,LYDENBURG,1120
0440679HST,OUDTSHOORN,6620
0440108HST,HOWICK,3291
0440110HST,LADYBRAND,9746
0440123HST,BABANANGO,3835
0440123JSE,MELMOTH,3835
0440136HST,STRAND,7150
0440164JSE,HOWICK,2195
0440177JSE,FRANKFORT,9820
0440220HST,CLOCOLAN,9735
0440232HST,CLOCOLAN,9735
0440245JSE,BETHAL,2270
0440258HST,KRUGERSDORP,9855
0440273HST,MOSSEL BAY,6500
0440286HST,ALEXANDRIA,6185
0439750JSE,SWAZILAND,0
0439763HST,MIDDELBURG(TVL),1095
0439763JSE,MIDDELBURG(TVL),1095
0439791HST,KRUGERSDORP,1740
0490201JSE,ALIWAL-NORTH,5530
0490227JSE,CERES,6840
0490233JSE,HUMANSDORP,6400
0439925JSE,EAST LONDON,5205
0439464HST,PORT ELIZABETH,6015
0439477HST,REITZ,9810
0439504HST,BULTFONTEIN,9670
0439482HST,HOWICK,3211
0439586HST,HEIDELBERG(TVL),2400
0439639HST,HUMANSDORP,6300
0439205JSE,BRITS,2800
0439220JSE,BETHAL,2310
0439233JSE,BETHAL,1490
0439246JSE,HOOPSTAD,2660
0503532JSE,LINDLEY,9630
0439383JSE,REITZ,9810
0439396JSE,VANDERBIJLPARK,1900
0439408JSE,LESOTHO,9745
0439410JSE,CERES,6840
0439451HST,WESTONARIA,1786
0059983HST,IXOPO,4640
0059996HST,THEUNISSEN,9410
0060003HST,BELLVILLE,7551
0060016HST,CALITZDORP,6660
0060029HST,PIETERMARITZBURG,3205
0060031HST,KOPPIES,9540
0060044HST,DELMAS,2210
0060057HST,EXCELSIOR,9760
0060068HST,LADYSMITH,1836
0060072HST,DEWETSDORP,9940
0060179HST,MOOI RIVER,3301
0060085HST,HARRISMITH,9300
0060098HST,BALFOUR,2410
0060107HST,KROONSTAD,9500
0441356JSE,BETHLEHEM,9700
0441440HST,PIETERMARITZBURG,4265
0441452HST,PRETORIA,2021
0441518JSE,SOMERSET-EAST,5850
0441804HST,BOSHOF,9482
0439015HST,REITZ,9810
0439218JSE,DELMAS,2210
0438107HST,VREDEFORT,9595
0438110HST,CHRISTIANA,2680
0489922JSE,SWELLENDAM,6740
0438244HST,HUMANSDORP,5206
0438257HST,MIDDELBURG(TVL),1095
0437650HST,MALMESBURY,7300
0060112HST,HEILBRON,9650
0060125HST,KROONSTAD,9500
0060138HST,KRUGERSDORP,2805
0060138JSE,KRUGERSDORP,1791
0060140HST,LADYSMITH,6885
0060153HST,WEPENER,9944
0060166HST,PARYS,9585
0060221HST,VILJOENSKROON,9520
0438870HST,VREDE,2455
0438936HST,ALIWAL-NORTH,5530
0438936JSE,ALIWAL-NORTH,5530
0438951HST,BRONKHORSTSPRUIT,2210
0437404HST,BALFOUR,2420
0437417HST,CERES,6835
0437458JSE,CLOCOLAN,9735
0437473HST,ALEXANDRIA,6185
0437500JSE,ROBERTSON,6705
0437526JSE,CALEDON,7233
0437539HST,ODENDAALSRUS,9480
0437582JSE,REITZ,9810
0443986HST,VENTERSBURG,9450
0437635HST,KLERKSDORP,2572
0437011HST,HUMANSDORP,6300
0437024HST,DANNHAUSER,2940
0437042HST,PRETORIA,117
0437052HST,CRADOCK,5870
0437080HST,CAROLINA,1190
0437080JSE,CAROLINA,1190
0437093HST,BOSHOF,2690
0437118HST,SCHWEIZER-RENEKE,2775
0437159JSE,ZEERUST,2865
0437227HST,MALMESBURY,7300
0437233HST,BETHLEHEM,9706
0436646HST,BETHAL,2310
0436659HST,HEIDELBERG(CAPE),760
0436661HST,HEIDELBERG(CAPE),6760
0436674HST,DELAREYVILLE,2522
0436687HST,FICKSBURG,9730
0437270HST,CAROLINA,1185
0436593HST,ALEXANDRIA,6185
0436932JSE,KRUGERSDORP,1743
0436945JSE,KLERKSDORP,2570
0436430JSE,BLOEMHOF,2660
0453885HST,HOWICK,3270
0436456JSE,LICHTENBURG,2740
0436580HST,PORT ALFRED,6171
0436605HST,DELAREYVILLE,2770
0436605JSE,DELAREYVILLE,2770
0436620HST,PORT ELIZABETH,6055
0436633HST,MOOI RIVER,3300
0438340HST,SCHWEIZER-RENEKE,2780
0438381JSE,PORT ELIZABETH,6000
0438419JSE,HEIDELBERG(CAPE),6665
0438434JSE,ROODEPOORT,2800
0438475HST,BETHLEHEM,9705
0438490HST,ERMELO,2332
0438502HST,VREDEFORT,181
0437975HST,HUMANSDORP,6303
0437988HST,KOSTER,2820
0438071JSE,GIYANI,826
0434777JSE,VREDE,2970
0434219JSE,HARTSWATER,8550
0434221JSE,JACOBSDAL,8710
0434288JSE,WOLMARANSSTAD,2775
0434328HST,LADYBRAND,9735
0434343JSE,RIVERSDALE,6770
0434356HST,HEILBRON,9650
0434369HST,DOUGLAS,8730
0434409HST,UTRECHT,2980
0434411JSE,VRYBURG,8600
0434437JSE,VREDE,9850
0433945HST,UITENHAGE,6055
0433965JSE,GEORGE,6603
0434016HST,NIGEL,2265
0489380HST,MOOI RIVER,3300
0516670HST,TAUNG,8575
0435984HST,MOOI RIVER,3340
0436089HST,BLOEMFONTEIN,9338
0436091HST,SENEKAL,9800
0436103HST,LADYBRAND,9745
0436116HST,BREDASDORP,7270
0436129HST,DOUGLAS,8730
0436144HST,LINDLEY,9630
0436157HST,SPRINGS,2210
0435806JSE,MONTAGU,6720
0489692JSE,PORT ELIZABETH,6390
0435847HST,VRYBURG,8600
0435851HST,WELKOM,9460
